category,source,copy,sha256,bytes,status,adaptation_notes
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\semantic_tag_engine.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\semantic_tag_engine.py,113b81d40a1412320d0b12cbe0ca3208ad9ca5fdc72eb261747718920998a7ff,24005,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\semantic_tag_extractor.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\semantic_tag_extractor.py,db2e79fa27027b8f7b4cbb290ee6fbab33ed4a30a3212226cbd765e2e6c46545,11160,REFERENCE_ONLY_NOT_RUN,writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\settings_manager.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\settings_manager.py,889b6761cf951bfcd00d8e4ed932d0bbe0038018ccccfbf5c5a0fdca3a028f8c,1468,REFERENCE_ONLY_NOT_RUN,writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\stats_cache.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\stats_cache.py,78091dfa95245f2eb7e7426e4bc37dfd9c074a4ea8a12c9ec9973ad1eab2451f,9320,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\tag_analytics_engine.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\tag_analytics_engine.py,a4b3f88b602aabfaebea82395683e55491cf54195dc30b013b7956e0d9fe6a6b,26435,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\threaded_scanner.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\threaded_scanner.py,014d963dae11247b4aa258272f6142c46df3e6ae3c98ec0fe10c8a75d9255011,14192,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\tts_preprocessor.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\tts_preprocessor.py,950613eeeeb443653920506c11871e78c80bd251979efb7bc0dc724683e9e179,10588,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\unified_scanner.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\unified_scanner.py,bff8977846163b11e5ef47718989f4d20e76305a661c288b6f1850f11ed1b2bd,31629,REFERENCE_ONLY_NOT_RUN,writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\vault_health_engine.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\vault_health_engine.py,fda1976207663d18cc7b96148e1cd20f1b6c382fbf7a112f8fec409fecf270a9,21190,REFERENCE_ONLY_NOT_RUN,contains move/rename/delete operations; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\vault_sync_engine.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\vault_sync_engine.py,285629b288156f29cb11163cc64b9e962d54263ea31545611c840aaf5ad8ced1,22567,REFERENCE_ONLY_NOT_RUN,machine-specific path references
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\wikipedia_filler.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\wikipedia_filler.py,0c3cc16b397afa0a48c22da521ceacd23391ccee04b9f4cd5219e1bc20346c30,16242,REFERENCE_ONLY_NOT_RUN,writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\scripts\python_pipeline\obsidian_programs\lossless_summary_engine\Run-LosslessSummary-Here.cmd,Obsidian_and_Documents\01_ENGINE\01_ENGINE\scripts\python_pipeline\obsidian_programs\lossless_summary_engine\Run-LosslessSummary-Here.cmd,e03494f700cb4d7077fd97c73a92e18bc4ea7b3f1411d5651ad3a67a57f78c03,373,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\scripts\python_pipeline\obsidian_programs\lossless_summary_engine\build_lossless_summary.ps1,Obsidian_and_Documents\01_ENGINE\01_ENGINE\scripts\python_pipeline\obsidian_programs\lossless_summary_engine\build_lossless_summary.ps1,6ff6659a8e88f41bd7dcb4bdd803cbc77d313a466558cb5e635e637da85ee1b0,12748,REFERENCE_ONLY_NOT_RUN,contains move/rename/delete operations; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\scripts\python_pipeline\obsidian_programs\lossless_summary_engine\build_master_eq_lossless_pack.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\scripts\python_pipeline\obsidian_programs\lossless_summary_engine\build_master_eq_lossless_pack.py,4f8d4d7c8c96841faf104115811449c4ae82ba25bf5a5099a2288db794261c86,10497,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Conversions_and_Data_Tools,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\scripts\python_pipeline\data_command_center\pyproject.toml,Conversions_and_Data_Tools\01_ENGINE\01_ENGINE\scripts\python_pipeline\data_command_center\pyproject.toml,daa1f3cc8d38d01943ce0e9864048cf44bd705ede37992a540537f2be0aebaaa,835,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Conversions_and_Data_Tools,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\scripts\python_pipeline\data_command_center\app\__init__.py,Conversions_and_Data_Tools\01_ENGINE\01_ENGINE\scripts\python_pipeline\data_command_center\app\__init__.py,ec62a76ffa55adfa4619f4fdecf8f3aee7bd992cbef5136b072c2c3f60d85b88,74,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Conversions_and_Data_Tools,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\scripts\python_pipeline\data_command_center\app\main.py,Conversions_and_Data_Tools\01_ENGINE\01_ENGINE\scripts\python_pipeline\data_command_center\app\main.py,bcd27c227e567df5e798eb7fc6941416ec0d6e65f20fed93f0ae80e0ab341901,6684,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Conversions_and_Data_Tools,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\scripts\python_pipeline\data_command_center\app\api\__init__.py,Conversions_and_Data_Tools\01_ENGINE\01_ENGINE\scripts\python_pipeline\data_command_center\app\api\__init__.py,6e19519fb1e990e130fc461ca638bac3682318bc95b1dea494840dab5106c195,115,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Conversions_and_Data_Tools,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\scripts\python_pipeline\data_command_center\app\api\obsidian_bridge.py,Conversions_and_Data_Tools\01_ENGINE\01_ENGINE\scripts\python_pipeline\data_command_center\app\api\obsidian_bridge.py,7201a91106eea43673ab7640fdec39063e47db240060388bdb5075e3980efb66,12639,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
